d,x,y,,,,,,,,,,,,,,,,,,
9894,2.32,0.18,,,,,,,,,,,,,,,,,,
9895,2.3,0.19,,,,,,,,,,,,,,,,,,
9896,2.3,0.2,,,,,,,,,,,,,,,,,,
9897,2.3,0.2,,,,,,,,,,,,,,,,,,
9898,2.3,0.2,,,,,,,,,,,,,,,,,,
9899,2.29,0.19,,,,,,,,,,,,,,,,,,
9900,2.31,0.18,,,,,,,,,,,,,,,,,,
9901,2.31,0.19,,,,,,,,,,,,,,,,,,
9902,2.3,0.2,,,,,,,,,,,,,,,,,,
9903,2.32,0.18,,,,,,,,,,,,,,,,,,
9904,2.35,0.16,,,,,,,,,,,,,,,,,,
9905,2.3,0.19,,,,,,,,,,,,,,,,,,
9906,2.28,0.2,,,,,,,,,,,,,,,,,,
9907,2.29,0.19,,,,,,,,,,,,,,,,,,
9908,2.31,0.18,,,,,,,,,,,,,,,,,,
9909,2.32,0.18,,,,,,,,,,,,,,,,,,
9910,2.32,0.19,,,,,,,,,,,,,,,,,,
9911,2.33,0.17,,,,,,,,,,,,,,,,,,
9912,2.33,0.17,,,,,,,,,,,,,,,,,,
9913,2.35,0.16,,,,,,,,,,,,,,,,,,
9914,2.33,0.17,,,,,,,,,,,,,,,,,,
9915,2.34,0.17,,,,,,,,,,,,,,,,,,
9916,2.36,0.16,,,,,,,,,,,,,,,,,,
9917,2.39,0.14,,,,,,,,,,,,,,,,,,
9918,2.43,0.13,,,,,,,,,,,,,,,,,,
9919,2.35,0.18,,,,,,,,,,,,,,,,,,
9920,2.33,0.19,,,,,,,,,,,,,,,,,,
9921,2.34,0.17,,,,,,,,,,,,,,,,,,
9922,2.32,0.17,,,,,,,,,,,,,,,,,,
9923,2.3,0.18,,,,,,,,,,,,,,,,,,
9924,2.3,0.19,,,,,,,,,,,,,,,,,,
9925,2.31,0.18,,,,,,,,,,,,,,,,,,
9926,2.29,0.19,,,,,,,,,,,,,,,,,,
9927,2.29,0.19,,,,,,,,,,,,,,,,,,
9928,2.29,0.18,,,,,,,,,,,,,,,,,,
9929,2.3,0.18,,,,,,,,,,,,,,,,,,
9930,2.3,0.17,,,,,,,,,,,,,,,,,,
9931,2.31,0.16,,,,,,,,,,,,,,,,,,
9932,2.32,0.18,,,,,,,,,,,,,,,,,,
9933,2.32,0.18,,,,,,,,,,,,,,,,,,
9934,2.33,0.18,,,,,,,,,,,,,,,,,,
9935,2.33,0.17,,,,,,,,,,,,,,,,,,
9936,2.33,0.17,,,,,,,,,,,,,,,,,,
9937,2.35,0.14,,,,,,,,,,,,,,,,,,
9938,2.34,0.16,,,,,,,,,,,,,,,,,,
9939,2.34,0.16,,,,,,,,,,,,,,,,,,
9940,2.34,0.15,,,,,,,,,,,,,,,,,,
9941,2.33,0.17,,,,,,,,,,,,,,,,,,
9942,2.33,0.17,,,,,,,,,,,,,,,,,,
9943,2.33,0.18,,,,,,,,,,,,,,,,,,
9944,2.32,0.17,,,,,,,,,,,,,,,,,,
9945,2.34,0.17,,,,,,,,,,,,,,,,,,
9946,2.34,0.18,,,,,,,,,,,,,,,,,,
9947,2.33,0.18,,,,,,,,,,,,,,,,,,
9948,2.32,0.19,,,,,,,,,,,,,,,,,,
9949,2.33,0.19,,,,,,,,,,,,,,,,,,
9950,2.36,0.17,,,,,,,,,,,,,,,,,,
9951,2.39,0.15,,,,,,,,,,,,,,,,,,
9952,2.38,0.15,,,,,,,,,,,,,,,,,,
9953,2.35,0.16,,,,,,,,,,,,,,,,,,
9954,2.36,0.15,,,,,,,,,,,,,,,,,,
9955,2.35,0.15,,,,,,,,,,,,,,,,,,
9956,2.33,0.17,,,,,,,,,,,,,,,,,,
9957,2.35,0.16,,,,,,,,,,,,,,,,,,
9958,2.33,0.17,,,,,,,,,,,,,,,,,,
9959,2.33,0.17,,,,,,,,,,,,,,,,,,
9960,2.31,0.18,,,,,,,,,,,,,,,,,,
9961,2.3,0.18,,,,,,,,,,,,,,,,,,
9962,2.3,0.18,,,,,,,,,,,,,,,,,,
9963,2.31,0.17,,,,,,,,,,,,,,,,,,
9964,2.31,0.18,,,,,,,,,,,,,,,,,,
9965,2.32,0.17,,,,,,,,,,,,,,,,,,
9966,2.32,0.17,,,,,,,,,,,,,,,,,,
9967,2.33,0.17,,,,,,,,,,,,,,,,,,
9968,2.35,0.17,,,,,,,,,,,,,,,,,,
9969,2.34,0.16,,,,,,,,,,,,,,,,,,
9970,2.34,0.15,,,,,,,,,,,,,,,,,,
9971,2.34,0.16,,,,,,,,,,,,,,,,,,
9972,2.37,0.14,,,,,,,,,,,,,,,,,,
9973,2.36,0.14,,,,,,,,,,,,,,,,,,
9974,2.34,0.17,,,,,,,,,,,,,,,,,,
9975,2.38,0.14,,,,,,,,,,,,,,,,,,
9976,2.35,0.16,,,,,,,,,,,,,,,,,,
9977,2.35,0.16,,,,,,,,,,,,,,,,,,
9978,2.35,0.16,,,,,,,,,,,,,,,,,,
9979,2.36,0.16,,,,,,,,,,,,,,,,,,
9980,2.35,0.15,,,,,,,,,,,,,,,,,,
9981,2.35,0.15,,,,,,,,,,,,,,,,,,
9982,2.36,0.16,,,,,,,,,,,,,,,,,,
9983,2.38,0.15,,,,,,,,,,,,,,,,,,
9984,2.37,0.15,,,,,,,,,,,,,,,,,,
9985,2.37,0.16,,,,,,,,,,,,,,,,,,
9986,2.35,0.16,,,,,,,,,,,,,,,,,,
9987,2.34,0.16,,,,,,,,,,,,,,,,,,
9988,2.34,0.16,,,,,,,,,,,,,,,,,,
9989,2.37,0.15,,,,,,,,,,,,,,,,,,
9990,2.38,0.14,,,,,,,,,,,,,,,,,,
9991,2.38,0.14,,,,,,,,,,,,,,,,,,
9992,2.36,0.16,,,,,,,,,,,,,,,,,,
9993,2.33,0.18,,,,,,,,,,,,,,,,,,
9994,2.34,0.16,,,,,,,,,,,,,,,,,,
9995,2.38,0.15,,,,,,,,,,,,,,,,,,
9996,2.35,0.17,,,,,,,,,,,,,,,,,,
9997,2.36,0.17,,,,,,,,,,,,,,,,,,
9998,2.36,0.16,,,,,,,,,,,,,,,,,,
9999,2.34,0.15,,,,,,,,,,,,,,,,,,
10000,2.33,0.17,,,,,,,,,,,,,,,,,,
10001,2.35,0.17,,,,,,,,,,,,,,,,,,
10002,2.35,0.18,,,,,,,,,,,,,,,,,,
10003,2.35,0.17,,,,,,,,,,,,,,,,,,
10004,2.34,0.17,,,,,,,,,,,,,,,,,,
10005,2.35,0.17,,,,,,,,,,,,,,,,,,
10006,2.34,0.17,,,,,,,,,,,,,,,,,,
10007,2.34,0.17,,,,,,,,,,,,,,,,,,
10008,2.35,0.17,,,,,,,,,,,,,,,,,,
10009,2.35,0.17,,,,,,,,,,,,,,,,,,
10010,2.35,0.17,,,,,,,,,,,,,,,,,,
10011,2.35,0.17,,,,,,,,,,,,,,,,,,
10012,2.34,0.15,,,,,,,,,,,,,,,,,,
10013,2.33,0.17,,,,,,,,,,,,,,,,,,
10014,2.34,0.19,,,,,,,,,,,,,,,,,,
10015,2.34,0.18,,,,,,,,,,,,,,,,,,
10016,2.35,0.18,,,,,,,,,,,,,,,,,,
